variable,tipo,PSI,KS_stat,KS_p,JSD,Chi2,Chi2_p,fecha_ejecucion,alerta,recomendar_retrain
num__age,numérica,0.059,0.073,0.334,0.086,,,2025-11-08 03:12:25,🟢 OK,False
num__trestbps,numérica,0.054,0.089,0.143,0.082,,,2025-11-08 03:12:25,🟢 OK,False
num__chol,numérica,0.11,0.123,0.013,0.117,,,2025-11-08 03:12:25,🟡 MODERADO,False
num__thalach,numérica,0.047,0.072,0.354,0.076,,,2025-11-08 03:12:25,🟢 OK,False
num__oldpeak,numérica,0.037,0.054,0.72,0.068,,,2025-11-08 03:12:25,🟢 OK,False
num__age_x_thalach,numérica,0.059,0.091,0.124,0.086,,,2025-11-08 03:12:25,🟢 OK,False
num__thalach_minus_age,numérica,0.081,0.055,0.694,0.1,,,2025-11-08 03:12:25,🟢 OK,False
num__oldpeak_ratio,numérica,0.033,0.048,0.842,0.064,,,2025-11-08 03:12:25,🟢 OK,False
cat__sex_0,numérica,0.0,0.002,1.0,0.002,,,2025-11-08 03:12:25,🟢 OK,False
cat__sex_1,numérica,0.0,0.002,1.0,0.002,,,2025-11-08 03:12:25,🟢 OK,False
cat__cp_0,numérica,0.0,0.002,1.0,0.002,,,2025-11-08 03:12:25,🟢 OK,False
cat__cp_1,numérica,0.027,0.057,0.642,0.058,,,2025-11-08 03:12:25,🟢 OK,False
cat__cp_2,numérica,0.015,0.056,0.668,0.044,,,2025-11-08 03:12:25,🟢 OK,False
cat__cp_3,numérica,0.0,0.004,1.0,0.0,,,2025-11-08 03:12:25,🟢 OK,False
cat__fbs_0,numérica,0.004,0.022,1.0,0.022,,,2025-11-08 03:12:25,🟢 OK,False
cat__fbs_1,numérica,0.004,0.022,1.0,0.022,,,2025-11-08 03:12:25,🟢 OK,False
cat__restecg_0,numérica,0.016,0.063,0.513,0.045,,,2025-11-08 03:12:25,🟢 OK,False
cat__restecg_1,numérica,0.011,0.051,0.771,0.036,,,2025-11-08 03:12:25,🟢 OK,False
cat__restecg_2,numérica,0.0,0.012,1.0,0.0,,,2025-11-08 03:12:25,🟢 OK,False
cat__exang_0,numérica,0.002,0.018,1.0,0.014,,,2025-11-08 03:12:25,🟢 OK,False
cat__exang_1,numérica,0.002,0.018,1.0,0.014,,,2025-11-08 03:12:25,🟢 OK,False
cat__thal_0,numérica,0.0,0.01,1.0,0.0,,,2025-11-08 03:12:25,🟢 OK,False
cat__thal_1,numérica,0.0,0.032,0.996,0.0,,,2025-11-08 03:12:25,🟢 OK,False
cat__thal_2,numérica,0.0,0.011,1.0,0.008,,,2025-11-08 03:12:25,🟢 OK,False
cat__thal_3,numérica,0.004,0.03,0.997,0.022,,,2025-11-08 03:12:25,🟢 OK,False
cat__slope_0,numérica,0.0,0.029,0.999,0.0,,,2025-11-08 03:12:25,🟢 OK,False
cat__slope_1,numérica,0.0,0.002,1.0,0.002,,,2025-11-08 03:12:25,🟢 OK,False
cat__slope_2,numérica,0.004,0.032,0.996,0.022,,,2025-11-08 03:12:25,🟢 OK,False
cat__ca_0,numérica,0.002,0.022,1.0,0.016,,,2025-11-08 03:12:25,🟢 OK,False
cat__ca_1,numérica,0.002,0.017,1.0,0.014,,,2025-11-08 03:12:25,🟢 OK,False
cat__ca_2,numérica,0.0,0.001,1.0,0.001,,,2025-11-08 03:12:25,🟢 OK,False
cat__ca_3,numérica,0.0,0.011,1.0,0.0,,,2025-11-08 03:12:25,🟢 OK,False
cat__ca_4,numérica,0.0,0.015,1.0,0.0,,,2025-11-08 03:12:25,🟢 OK,False
